Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Bus,Bus with ULB Reported,Bus >= ULB,Articulated Bus,Articulated Bus with ULB Reported,Articulated Bus >= ULB,Over-the-Road Bus,Over-the-Road Bus with ULB Reported,Over-the-Road Bus >= ULB,Double Decker Bus,Double Decker Bus with ULB Reported,Double Decker Bus >= ULB,School Bus,SchoolBus with ULB Reported,School Bus >= ULB,Van,Van with ULB Reported,Van >= ULB,Cutaway,Cutaway with ULB Reported,Cutaway >= ULB,Automobile,Automobile with ULB Reported,Automobile >= ULB,Minivan,Minivan with ULB Reported,Minivan >= ULB,Sport Utility Vehicle,Sport Utility Vehicle with ULB Reported,Sport Utility Vehicle >= ULB,Trolleybus,TrolleyBus with ULB Reported,Trolleybus >= ULB,Heavy Rail Passenger Car,Heavy Rail Passenger Car with ULB Reported,Heavy Rail Passenger Car >= ULB,Light Rail Vehicle,Light Rail Vehicle with ULB Reported,Light Rail Vehicle >= ULB,Commuter Rail Passenger Coach,Commuter Rail Passenger Coach with ULB Reported,Commuter Rail Passenger Coach >= ULB,Commuter Rail Self-Propelled Passenger Car,Commuter Rail Self-Propelled Passenger Car with ULB Reported,Commuter Rail Self-Propelled Passenger Car >= ULB,Locomotive,Locomotive with ULB Reported,Locomotive >= ULB,Automated Guideway Vehicle,Automated Guideway Vehicle with ULB Reported,Automated Guideway Vehicle >= ULB,Vintage/Historic Trolley,Vintage/Historic Trolley with ULB Reported,Vintage/Historic Trolley >= ULB,Streetcar,Streetcar with ULB Reported,Streetcar >= ULB,Aerial Tramway,Aerial Tramway with ULB Reported,Aerial Tramway >= ULB,Monorail,Monorail >= ULB,Cable Car,Cable Car with ULB Reported,Cable Car >= ULB,Inclined Plane,Inclined Plane with ULB Reported,Inclined Plane >= ULB,Ferryboat,Ferryboat with ULB Reported,Ferryboat >= ULB,Other,Other with ULB Reported,Other >= ULB,Total Revenue Vehicles,Total with ULB Reported,Total Revenue Vehicles >= ULB,Automobiles,Automobiles >= ULB,Trucks and Other Rubber Tire Vehicles,Trucks and Other Rubber Tire Vehicles >= ULB,Steel Wheel Vehicles,Steel Wheel Vehicles >= ULB,Total Service Vehicles,Total Service Vehicles >= ULB
Okanogan County Transportation & Nutrition,Omak,WA,00332,Corporation,Rural Reporter,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,14,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,1,0,0,0,0,0,0,0,0
Skamania County Senior Services,Stevenson,WA,00336,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,4,2,0,0,0,8,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,6,0,0,0,0,0,0,0,0
"Senior Citizens of Sweet Home, Inc.",Sweet Home,OR,00348,Corporation,Rural Reporter,,,,11,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,4,4,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,3,0,0,0,0,0,0,0,0
Milford Transit District,Milford,CT,10107,Public Agency or Authority of Transit Service,Full Reporter,10162,"Bridgeport--Stamford, CT--NY","916,408",11,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,1,0,2,2,0,0,3,2
Biddeford-Saco-Old Orchard Beach Transit Committee Shuttle Bus,Saco,ME,10114,Public Agency or Authority of Transit Service,Reduced Reporter,71263,"Portland, ME","205,356",11,20,20,10,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,11,0,0,5,4,0,0,5,4
Lewis County,Lowville,NY,20925,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,11,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,0,1,0,0,0,0,0,1,0
Essex County Department of Community Development,Elizabethtown,NY,20932,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,11,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0
Hornell Area Transit,Hornell,NY,20953,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,11,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,3,0,0,0,0,0,0,0,0
"City of Annapolis, dba: Annapolis Department of Transportation",Annapolis,MD,30040,County or Local Government Unit or Department of Transportation,Reduced Reporter,4843,"Baltimore, MD","2,212,038",11,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,7,1,0,0,7,1
Southwestern Pennsylvania Commission,Pittsburgh,PA,30078,COG or Other Planning Agency,Full Reporter,69697,"Pittsburgh, PA","1,745,039",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
"City of Hazleton, dba: Hazleton Public Transit",Hazleton,PA,30093,County or Local Government Unit or Department of Transportation,Reduced Reporter,37945,"Hazleton, PA","50,860",11,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,2,0,0,2,0,0,0,2,0
City of Radford,Radford,VA,30200,County or Local Government Unit or Department of Transportation,Reduced Reporter,8002,"Blacksburg--Christiansburg, VA","72,400",11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,4,0,0,4,0,0,0,4,0
Clarion County,Clarion,PA,31032,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,4,4,1,0,0,0,6,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,1,0,0,0,0,0,0,0,0
Greene County - PA,Waynesburg,PA,31040,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,9,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,11,0,0,0,0,0,0,0,0
"City of Franklin , dba: Franklin Transit Authority",Franklin,TN,40162,County or Local Government Unit or Department of Transportation,Reduced Reporter,61273,"Nashville-Davidson, TN","1,158,642",11,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,8,2,2,0,0,0,0,2,2
Martin County,Stuart,FL,40192,County or Local Government Unit or Department of Transportation,Full Reporter,71479,"Port St. Lucie, FL","437,745",11,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,4,0,1,0,0,0,5,0
Madison County Citizens Services Agency,Canton,MS,40969,Corporation,Rural Reporter,,,,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,5,5,5,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,9,0,0,0,0,0,0,0,0
Edgefield County Senior Citizens Council,,SC,40988,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0
Mississippi Valley State University Mass Transit,Itta Bena,MS,41024,University,Rural Reporter,,,,11,10,10,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9,9,8,0,0,0,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,26,0,0,0,0,0,0,0,0
Catoosa County,Ringgold,GA,41086,County or Local Government Unit or Department of Transportation,Rural Reporter,15832,"Chattanooga, TN--GA","398,569",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,7,0,0,0,0,0,0,0,0
Robeson County,Lumberton,NC,41187,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,16,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,1,0,0,0,0,0,0,0,0
City of Fort Lauderdale,Fort Lauderdale,FL,44929,County or Local Government Unit or Department of Transportation,Full Reporter,56602,"Miami--Fort Lauderdale, FL","6,077,522",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
"Sunflower-Humphreys Counties Progress, Inc.",,MS,44978,Corporation,Rural Reporter,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,0,0,0,0,8,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,3,0,0,0,0,0,0,0,0
"City of Moorhead, dba: Metropolitan Area Transit",Moorhead,MN,50026,County or Local Government Unit or Department of Transportation,Full Reporter,29089,"Fargo, ND--MN","216,214",11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,1,0,0,4,2,0,0,4,2
Steel Valley Regional Transit Authority,Steubenville,OH,50142,Public Agency or Authority of Transit Service,Reduced Reporter,84859,"Steubenville--Weirton, OH--WV--PA","64,981",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,7,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,10,0,0,2,1,0,0,2,1
"County of Warren, dba: Warren County Transit Service",Lebanon,OH,50200,County or Local Government Unit or Department of Transportation,Reduced Reporter,16885,"Cincinnati, OH--KY","1,686,744",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,4,0,0,0,0,0,0,0,0
Rock Island County,Rock Island,IL,50237,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,9,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,5,0,0,0,0,0,0,0,0
Eastern Upper Peninsula Transportation Authority,Sault Sainte Marie,MI,50241,Public Agency or Authority of Transit Service,Rural Reporter,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,5,0,0,0,0,1,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,17,17,1,1,1,5,0,0,0,6,1
City of Marshfield,Marshfield,WI,50257,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,9,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,6,0,0,0,0,0,0,0,0
City of Wisconsin Rapids,Wisconsin Rapids,WI,50405,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,7,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,9,0,0,0,0,0,0,0,0
"Noble County Council on Aging , dba: Noble Transit System",Albion,IN,50422,Corporation,Rural Reporter,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,2,2,1,2,2,1,9,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,11,0,0,0,0,0,0,0,0
Piatt County,Monticello,IL,50425,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,6,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,9,0,0,0,0,0,0,0,0
"Miami County YMCA , dba: YMCA - Miami County Public Transit",Peru,IN,50454,Corporation,Rural Reporter,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,10,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,10,0,0,0,0,0,0,0,0
Pike County/Community Action Transit System,Piketon,OH,50464,Corporation,Rural Reporter,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8,8,2,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,3,0,0,0,0,0,0,0,0
Paul Bunyan Transit,Bemidji,MN,50489,Public Agency or Authority of Transit Service,Rural Reporter,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,4,0,0,2,0,0,0,2,0
Shelby Public Transit,Sidney,OH,50497,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,10,10,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0
Bois Forte Reservation Tribal Council,Orr,MN,55252,Tribe,Reduced Reporter,27,Minnesota Non-UZA,"2,336,986",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0
"City of Jonesboro , dba: Jonesboro Economical Transportation System",Jonesboro,AR,60104,County or Local Government Unit or Department of Transportation,Reduced Reporter,43345,"Jonesboro, AR","73,781",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,2,0,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,4,2,2,4,4,0,0,6,6
"Grant County, dba: Corre Caminos Transit",Silver City,NM,60151,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0
"Zia Therapy Center, Inc.",Alamogordo,NM,60206,Corporation,Reduced Reporter,47935,"Las Cruces, NM","139,338",11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,2,0,0,0,0,0,0,0,0
West Ouachita Senior Center,West Monroe,LA,60217,Agency on Aging,Rural Reporter,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0
"Developmental Services of Northwest Kansas, Inc.",Hays,KS,70060,Corporation,Rural Reporter,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0
Burlington Urban Service,Burlington,IA,70111,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,11,9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,2,0,0,0,0,0,0,0,0
Reno County Public Transportation,Hutchinson,KS,70180,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,15,15,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0
"SERVE, Inc.",Fulton,MO,70263,Corporation,Rural Reporter,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,11,11,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,3,0,0,0,0,0,0,0,0
Mountain Express,Crested Butte,CO,80159,Public Agency or Authority of Transit Service,Rural Reporter,,,,11,20,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,3,0,0,4,0,0,0,4,0
Butte Silver Bow Transit,Butte,MT,80174,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,11,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,1,0,0,0,0,0,0,0,0
"Southern Colorado Community Action Agency, Inc.",Ignacio,CO,80189,Corporation,Rural Reporter,,,,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,2,0,0,1,0,0,0,1,0
"Community Coordinated Transportation System, dba: River Cities Public Transit",Pierre,SD,80298,Corporation,Reduced Reporter,82252,"Sioux Falls, SD","194,283",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0
Cheyenne River Sioux Tribe,Eagle Butte,SD,88158,Tribe,Reduced Reporter,46,South Dakota Non-UZA,"599,629",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,1,1,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0
"City of Porterville, dba: Porterville Transit",Porterville,CA,90198,County or Local Government Unit or Department of Transportation,Reduced Reporter,71074,"Porterville, CA","69,862",11,23,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,13,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,9,0,0,2,0,0,0,2,0
Columbus County,Whiteville,NC,41172,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1,9,9,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,1,0,0,0,0,0,0,0,0
"San Francisco Bay Area Water Emergency Transportation Authority, dba: San Francisco Bay Ferry",San Francisco,CA,90225,Public Agency or Authority of Transit Service,Full Reporter,78904,"San Francisco--Oakland, CA","3,515,933",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,3,0,0,0,16,16,3,1,0,7,0,0,0,8,0
Calaveras Transit Agency,San Andreas,CA,99442,Public Agency or Authority of Transit Service,Rural Reporter,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,7,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,9,0,0,1,0,0,0,1,0
Jefferson Transit,Port Townsend,WA,00316,Public Agency or Authority of Transit Service,Rural Reporter,,,,10,14,14,2,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,9,9,3,0,0,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,15,2,0,11,5,0,0,13,5
