Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Vehicle Type,0,1,2,3,4,5,6,7,8,9,10,11,12,13-15,16-20,21-25,26-30,31-60,60+,Total Vehicles,Average Age of Fleet (in Years),Average Lifetime Miles per Vehicle
City of Oneonta,Oneonta,NY,20960,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Cutaway,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.00,0
City of Oneonta,Oneonta,NY,20960,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Bus,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11,4.73,0
Wyoming Transit Service,Warsaw,NY,20980,Public Agency or Authority of Transit Service,Rural Reporter,,,,14,Cutaway,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,17,4.94,0
"Board of County Commissioners of Calvert County, Maryland",Prince Frederick,MD,30131,County or Local Government Unit or Department of Transportation,Reduced Reporter,49594,"Lexington Park--California--Chesapeake Ranch Estates, MD","62,352",14,Trucks and other Rubber Tire Vehicles (Service),0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,,
"Board of County Commissioners of Calvert County, Maryland",Prince Frederick,MD,30131,County or Local Government Unit or Department of Transportation,Reduced Reporter,49594,"Lexington Park--California--Chesapeake Ranch Estates, MD","62,352",14,Cutaway,0,2,0,2,5,1,3,0,2,2,0,0,0,0,0,0,0,0,0,17,5.00,"147,393"
"Board of County Commissioners of Calvert County, Maryland",Prince Frederick,MD,30131,County or Local Government Unit or Department of Transportation,Reduced Reporter,49594,"Lexington Park--California--Chesapeake Ranch Estates, MD","62,352",14,Bus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.00,"96,869"
"Butler Transit  Authority, dba: The Bus",Butler,PA,30141,Public Agency or Authority of Transit Service,Reduced Reporter,69697,"Pittsburgh, PA","1,745,039",14,Trucks and other Rubber Tire Vehicles (Service),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
"Butler Transit  Authority, dba: The Bus",Butler,PA,30141,Public Agency or Authority of Transit Service,Reduced Reporter,69697,"Pittsburgh, PA","1,745,039",14,Over-the-road Bus,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5.00,"128,722"
"Butler Transit  Authority, dba: The Bus",Butler,PA,30141,Public Agency or Authority of Transit Service,Reduced Reporter,69697,"Pittsburgh, PA","1,745,039",14,Bus,0,0,0,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,7,5.57,"150,832"
"Butler Transit  Authority, dba: The Bus",Butler,PA,30141,Public Agency or Authority of Transit Service,Reduced Reporter,69697,"Pittsburgh, PA","1,745,039",14,Automobiles (Service),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
"County of Carbon, dba: Carbon County Community Transit",Jim Thorpe,PA,30167,County or Local Government Unit or Department of Transportation,Reduced Reporter,1495,"Allentown--Bethlehem, PA--NJ","621,703",14,Cutaway,0,0,0,0,8,1,5,0,0,0,0,0,0,0,0,0,0,0,0,14,4.79,"118,755"
County of Butler,Butler,PA,31041,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Van,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3.60,0
County of Butler,Butler,PA,31041,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Minivan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7.00,0
County of Butler,Butler,PA,31041,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Cutaway,0,8,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2.13,0
Southeast Tennessee Human Resource Agency -Cleveland Urban Area Transit System Division,Dunlap,TN,40170,Publicly-Owned or Privately Chartered Corporation,Reduced Reporter,17722,"Cleveland, TN","73,918",14,Cutaway,0,0,0,3,0,11,0,0,0,2,0,0,0,0,0,0,0,0,0,16,5.12,"74,081"
"Pitt County, dba: Pitt Area Transit System",Greenville,NC,40220,County or Local Government Unit or Department of Transportation,Reduced Reporter,35380,"Greenville, NC","120,150",14,Van,0,2,3,6,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,3.44,"95,118"
"Pitt County, dba: Pitt Area Transit System",Greenville,NC,40220,County or Local Government Unit or Department of Transportation,Reduced Reporter,35380,"Greenville, NC","120,150",14,Cutaway,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3.50,"94,304"
Fairfield County Transit System,Winnsboro,SC,41003,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Van,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.00,0
Fairfield County Transit System,Winnsboro,SC,41003,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Cutaway,0,0,2,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,13,4.69,0
Fairfield County Transit System,Winnsboro,SC,41003,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Automobiles (Service),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Alabama Tombigbee Regional Planning Commission,Camden,AL,41084,COG or Other Planning Agency,Rural Reporter,,,,14,Van,0,0,0,2,2,1,2,0,2,0,2,0,0,0,0,0,0,0,0,11,6.09,0
Alabama Tombigbee Regional Planning Commission,Camden,AL,41084,COG or Other Planning Agency,Rural Reporter,,,,14,Trucks and other Rubber Tire Vehicles (Service),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,
Alabama Tombigbee Regional Planning Commission,Camden,AL,41084,COG or Other Planning Agency,Rural Reporter,,,,14,Minivan,0,0,0,2,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,8,5.88,0
Harnett County,Lillington,NC,41119,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Van,0,0,0,2,3,1,4,3,0,0,0,0,0,1,0,0,0,0,0,14,5.86,0
Harnett County,Lillington,NC,41119,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Minivan,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4.25,0
Harnett County,Lillington,NC,41119,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Cutaway,0,0,5,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,8,4.38,0
Lee County,Sanford,NC,41150,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Van,0,0,0,0,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,8,5.88,0
Lee County,Sanford,NC,41150,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Minivan,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5.50,0
Lee County,Sanford,NC,41150,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Cutaway,0,3,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,13,4.54,0
Walker County,La Fayette,GA,41171,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Cutaway,4,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2.77,0
City of West Bend,West Bend,WI,50202,County or Local Government Unit or Department of Transportation,Reduced Reporter,55,Wisconsin Non-UZA,"2,782,206",14,Sports Utility Vehicle,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.50,"107,608"
City of West Bend,West Bend,WI,50202,County or Local Government Unit or Department of Transportation,Reduced Reporter,55,Wisconsin Non-UZA,"2,782,206",14,Minivan,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3.40,"91,994"
City of West Bend,West Bend,WI,50202,County or Local Government Unit or Department of Transportation,Reduced Reporter,55,Wisconsin Non-UZA,"2,782,206",14,Cutaway,0,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3.14,"87,842"
Bond County,Greenville,IL,50221,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Minivan,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,5,6.60,0
Bond County,Greenville,IL,50221,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Cutaway,0,0,0,2,0,0,2,0,1,0,0,2,0,3,0,0,0,0,0,10,8.90,0
Bond County,Greenville,IL,50221,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Bus,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,6.00,0
Carroll County,Mount Carroll,IL,50234,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Minivan,0,0,0,3,2,2,1,0,0,1,1,0,0,0,0,0,0,0,0,10,5.20,0
Carroll County,Mount Carroll,IL,50234,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Cutaway,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,4,8.00,0
Athens Transit,Glouster,OH,50278,Corporation,Rural Reporter,,,,14,Van,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.50,0
Athens Transit,Glouster,OH,50278,Corporation,Rural Reporter,,,,14,Trucks and other Rubber Tire Vehicles (Service),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,
Athens Transit,Glouster,OH,50278,Corporation,Rural Reporter,,,,14,Minivan,1,0,0,7,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,12,4.42,0
Athens Transit,Glouster,OH,50278,Corporation,Rural Reporter,,,,14,Cutaway,1,1,0,2,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,11,4.45,0
Athens Transit,Glouster,OH,50278,Corporation,Rural Reporter,,,,14,Bus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,12.33,0
"LifeStream Services , dba: The New Interurban",Yorktown,IN,50307,Corporation,Rural Reporter,,,,14,Van,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,18.00,0
"LifeStream Services , dba: The New Interurban",Yorktown,IN,50307,Corporation,Rural Reporter,,,,14,Cutaway,0,0,0,4,4,4,0,4,0,0,0,0,8,0,0,0,0,0,0,24,7.17,0
"Area 10 Council on Aging of Monroe County, dba: Rural Transit",Ellettsville,IN,50308,Agency on Aging,Rural Reporter,,,,14,Cutaway,0,0,4,2,4,0,3,0,6,0,0,0,4,3,0,0,0,0,0,26,7.04,0
Geauga County Transit,Chardon,OH,50326,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Minivan,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6.00,0
Geauga County Transit,Chardon,OH,50326,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Cutaway,0,0,0,2,2,2,2,1,3,2,0,0,0,0,0,0,0,0,0,14,6.07,0
Otsego County Board of Commissioners,Gaylord,MI,50340,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Van,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.00,0
Otsego County Board of Commissioners,Gaylord,MI,50340,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Trucks and other Rubber Tire Vehicles (Service),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,
Otsego County Board of Commissioners,Gaylord,MI,50340,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Bus,2,0,0,4,4,0,0,0,0,0,3,0,0,1,0,0,0,0,0,14,5.14,0
"Blue River Services , dba: Southern Indiana Transit System",Corydon,IN,50347,Corporation,Rural Reporter,,,,14,Minivan,0,2,4,0,0,0,0,0,1,2,0,2,1,0,0,0,0,0,0,12,5.83,0
"Blue River Services , dba: Southern Indiana Transit System",Corydon,IN,50347,Corporation,Rural Reporter,,,,14,Cutaway,0,0,0,3,4,4,1,0,2,1,0,1,3,1,3,0,0,0,0,23,8.00,0
"Jo Daviess County, dba: Jo Daviess County Transit",Galena,IL,50364,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Minivan,0,0,0,1,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,7,7.86,0
"Jo Daviess County, dba: Jo Daviess County Transit",Galena,IL,50364,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Cutaway,0,0,0,4,0,0,2,0,0,0,2,0,1,0,1,1,0,0,0,11,8.91,0
Fayette County Transportation Program,Washington Court House,OH,50410,Corporation,Rural Reporter,,,,14,Van,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,8.33,0
Fayette County Transportation Program,Washington Court House,OH,50410,Corporation,Rural Reporter,,,,14,Minivan,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,5,9.60,0
Fayette County Transportation Program,Washington Court House,OH,50410,Corporation,Rural Reporter,,,,14,Cutaway,0,0,0,2,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,9,5.33,0
Transportation Resources For Independent People of Sandusky (TRIPS),Fremont,OH,50433,Corporation,Rural Reporter,,,,14,Van,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.00,0
Transportation Resources For Independent People of Sandusky (TRIPS),Fremont,OH,50433,Corporation,Rural Reporter,,,,14,Minivan,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,8.00,0
Transportation Resources For Independent People of Sandusky (TRIPS),Fremont,OH,50433,Corporation,Rural Reporter,,,,14,Cutaway,0,0,1,1,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,13,4.38,0
Whiteside County,Morrison,IL,50458,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Minivan,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,12.67,0
Whiteside County,Morrison,IL,50458,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Cutaway,0,0,0,0,2,0,0,2,2,1,1,3,1,3,2,0,0,0,0,17,10.53,0
"Sawyer County/LCO Transit Commission, dba: Namekagon Transit",Hayward,WI,50507,Public Agency or Authority of Transit Service,Rural Reporter,,,,14,Cutaway,0,3,0,3,0,4,7,0,0,1,0,0,0,0,0,0,0,0,0,18,4.61,0
"Sawyer County/LCO Transit Commission, dba: Namekagon Transit",Hayward,WI,50507,Public Agency or Authority of Transit Service,Rural Reporter,,,,14,Automobiles (Service),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Leech Lake Band of Ojibwe,Cass Lake,MN,55258,Tribe,Reduced Reporter,27,Minnesota Non-UZA,"2,336,986",14,Van,0,0,1,7,4,1,0,1,1,3,1,0,1,1,0,0,0,0,0,21,5.81,0
"Texoma Area Paratransit System, Inc",Sherman,TX,60107,County or Local Government Unit or Department of Transportation,Full Reporter,81631,"Sherman--Denison, TX","66,691",14,Van,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.00,"18,348"
"Texoma Area Paratransit System, Inc",Sherman,TX,60107,County or Local Government Unit or Department of Transportation,Full Reporter,81631,"Sherman--Denison, TX","66,691",14,Trucks and other Rubber Tire Vehicles (Service),0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,,
"Texoma Area Paratransit System, Inc",Sherman,TX,60107,County or Local Government Unit or Department of Transportation,Full Reporter,81631,"Sherman--Denison, TX","66,691",14,Cutaway,0,12,1,0,10,0,0,4,0,0,0,1,0,0,0,0,0,0,0,28,3.32,"56,982"
"Texoma Area Paratransit System, Inc",Sherman,TX,60107,County or Local Government Unit or Department of Transportation,Full Reporter,81631,"Sherman--Denison, TX","66,691",14,Automobiles (Service),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Pointe Coupee Council on Aging,New Roads,LA,60135,Agency on Aging,Rural Reporter,,,,14,Minivan,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.00,0
Pointe Coupee Council on Aging,New Roads,LA,60135,Agency on Aging,Rural Reporter,,,,14,Cutaway,0,2,2,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,3.33,0
City of Carlsbad,Carlsbad,NM,60184,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Van,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,20.00,0
City of Carlsbad,Carlsbad,NM,60184,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Trucks and other Rubber Tire Vehicles (Service),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,
City of Carlsbad,Carlsbad,NM,60184,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Minivan,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10.00,0
City of Carlsbad,Carlsbad,NM,60184,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Cutaway,0,0,0,0,2,0,0,1,0,0,0,1,0,5,3,0,0,0,0,12,11.83,0
Tangipahoa Voluntary Council on Aging,Amite,LA,60196,Agency on Aging,Reduced Reporter,36514,"Hammond, LA","72,526",14,Van,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.00,"22,265"
Tangipahoa Voluntary Council on Aging,Amite,LA,60196,Agency on Aging,Reduced Reporter,36514,"Hammond, LA","72,526",14,Minivan,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.00,"9,159"
Tangipahoa Voluntary Council on Aging,Amite,LA,60196,Agency on Aging,Reduced Reporter,36514,"Hammond, LA","72,526",14,Cutaway,0,2,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,10,3.70,"71,594"
St. James Dept of Human Resource,Convent,LA,60222,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Cutaway,0,5,0,2,0,1,0,2,0,0,2,2,0,0,0,0,0,0,0,14,5.14,0
"The City of Cheyenne, dba: Cheyenne Transit Program",Cheyenne,WY,80020,County or Local Government Unit or Department of Transportation,Reduced Reporter,16237,"Cheyenne, WY","79,250",14,Van,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.00,"9,331"
"The City of Cheyenne, dba: Cheyenne Transit Program",Cheyenne,WY,80020,County or Local Government Unit or Department of Transportation,Reduced Reporter,16237,"Cheyenne, WY","79,250",14,Trucks and other Rubber Tire Vehicles (Service),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,
"The City of Cheyenne, dba: Cheyenne Transit Program",Cheyenne,WY,80020,County or Local Government Unit or Department of Transportation,Reduced Reporter,16237,"Cheyenne, WY","79,250",14,Cutaway,0,0,0,0,3,0,5,2,0,2,0,3,0,2,0,0,0,0,0,17,7.82,"167,976"
"Helena, City of, dba: Capital Transit",Helena,MT,80137,County or Local Government Unit or Department of Transportation,Rural Reporter,38161,"Helena, MT","52,380",14,Van,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.00,0
"Helena, City of, dba: Capital Transit",Helena,MT,80137,County or Local Government Unit or Department of Transportation,Rural Reporter,38161,"Helena, MT","52,380",14,Minivan,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.00,0
"Helena, City of, dba: Capital Transit",Helena,MT,80137,County or Local Government Unit or Department of Transportation,Rural Reporter,38161,"Helena, MT","52,380",14,Cutaway,0,0,0,1,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,6,9.17,0
"Helena, City of, dba: Capital Transit",Helena,MT,80137,County or Local Government Unit or Department of Transportation,Rural Reporter,38161,"Helena, MT","52,380",14,Bus,0,0,0,0,0,2,1,1,0,0,2,0,0,0,0,0,0,0,0,6,7.17,0
People's Transit,Huron,SD,80153,Corporation,Rural Reporter,,,,14,Minivan,0,0,0,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,6,8.00,0
People's Transit,Huron,SD,80153,Corporation,Rural Reporter,,,,14,Cutaway,0,0,1,2,0,1,1,0,0,0,0,0,1,0,3,0,0,0,0,9,9.44,0
Flathead County Public Transportation,Kalispell,MT,80220,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Van,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,12.00,0
Flathead County Public Transportation,Kalispell,MT,80220,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Minivan,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.00,0
Flathead County Public Transportation,Kalispell,MT,80220,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Cutaway,0,0,0,4,0,0,1,0,0,1,2,0,0,1,2,0,0,0,0,11,8.36,0
Flathead County Public Transportation,Kalispell,MT,80220,County or Local Government Unit or Department of Transportation,Rural Reporter,,,,14,Bus,0,0,0,0,0,1,1,0,0,0,0,1,2,1,0,0,0,0,0,6,9.83,0
Standing Rock Public Transportation,Fort Yates,ND,88140,Tribe,Reduced Reporter,38,North Dakota Non-UZA,"403,127",14,Trucks and other Rubber Tire Vehicles (Service),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Standing Rock Public Transportation,Fort Yates,ND,88140,Tribe,Reduced Reporter,38,North Dakota Non-UZA,"403,127",14,Minivan,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,6.33,0
Standing Rock Public Transportation,Fort Yates,ND,88140,Tribe,Reduced Reporter,38,North Dakota Non-UZA,"403,127",14,Cutaway,0,2,3,0,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,11,4.27,0
"City of Commerce, dba: City of Commerce Municipal Buslines",Commerce,CA,90043,County or Local Government Unit or Department of Transportation,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",14,Trucks and other Rubber Tire Vehicles (Service),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,
"City of Commerce, dba: City of Commerce Municipal Buslines",Commerce,CA,90043,County or Local Government Unit or Department of Transportation,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",14,Cutaway,0,4,0,0,0,0,1,1,0,1,0,4,0,0,0,0,0,0,0,11,6.36,"76,542"
"City of Commerce, dba: City of Commerce Municipal Buslines",Commerce,CA,90043,County or Local Government Unit or Department of Transportation,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",14,Bus,3,5,0,0,4,0,0,0,0,0,2,0,1,7,0,0,0,0,0,22,6.86,"196,891"
"City of Arcadia, dba: Arcadia Transit",Arcadia,CA,90044,County or Local Government Unit or Department of Transportation,Reduced Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",14,Minivan,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3.00,"10,548"
"City of Arcadia, dba: Arcadia Transit",Arcadia,CA,90044,County or Local Government Unit or Department of Transportation,Reduced Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",14,Cutaway,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2.83,"36,246"
"City of Thousand Oaks, dba: Thousand Oaks Transit",Thousand Oaks,CA,90165,County or Local Government Unit or Department of Transportation,Reduced Reporter,87490,"Thousand Oaks, CA","213,986",14,Trucks and other Rubber Tire Vehicles (Service),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,
"City of Thousand Oaks, dba: Thousand Oaks Transit",Thousand Oaks,CA,90165,County or Local Government Unit or Department of Transportation,Reduced Reporter,87490,"Thousand Oaks, CA","213,986",14,Minivan,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3.00,"41,040"
"City of Thousand Oaks, dba: Thousand Oaks Transit",Thousand Oaks,CA,90165,County or Local Government Unit or Department of Transportation,Reduced Reporter,87490,"Thousand Oaks, CA","213,986",14,Cutaway,0,0,0,7,7,1,0,1,2,0,0,0,0,0,0,0,0,0,0,18,4.28,"80,723"
"City of Thousand Oaks, dba: Thousand Oaks Transit",Thousand Oaks,CA,90165,County or Local Government Unit or Department of Transportation,Reduced Reporter,87490,"Thousand Oaks, CA","213,986",14,Bus,0,0,0,0,4,0,0,0,2,0,0,0,0,2,0,0,0,0,0,8,7.50,"283,324"
"City of Thousand Oaks, dba: Thousand Oaks Transit",Thousand Oaks,CA,90165,County or Local Government Unit or Department of Transportation,Reduced Reporter,87490,"Thousand Oaks, CA","213,986",14,Automobiles (Service),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,
City of Downey,Downey,CA,90263,County or Local Government Unit or Department of Transportation,Reduced Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",14,Minivan,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,6.00,"5,365"
City of Downey,Downey,CA,90263,County or Local Government Unit or Department of Transportation,Reduced Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",14,Cutaway,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,4,10.25,"39,215"
City of Downey,Downey,CA,90263,County or Local Government Unit or Department of Transportation,Reduced Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",14,Bus,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3.00,"57,569"
"City of El Monte , dba: City of El Monte Transportation Division",El Monte,CA,90265,County or Local Government Unit or Department of Transportation,Reduced Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",14,Van,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,6.00,"62,506"
City of La Habra Heights,La Habra Heights,CA,99445,County or Local Government Unit or Department of Transportation,Reduced Asset Reporter,,,,0,Automobile,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6.00,0
"City of El Monte , dba: City of El Monte Transportation Division",El Monte,CA,90265,County or Local Government Unit or Department of Transportation,Reduced Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",14,Trucks and other Rubber Tire Vehicles (Service),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,,
"City of El Monte , dba: City of El Monte Transportation Division",El Monte,CA,90265,County or Local Government Unit or Department of Transportation,Reduced Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",14,Cutaway,0,0,0,0,0,3,0,0,0,5,0,0,0,2,0,0,0,0,0,10,8.80,"61,363"
"City of El Monte , dba: City of El Monte Transportation Division",El Monte,CA,90265,County or Local Government Unit or Department of Transportation,Reduced Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",14,Bus,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,8,6.12,"155,510"
"City of El Monte , dba: City of El Monte Transportation Division",El Monte,CA,90265,County or Local Government Unit or Department of Transportation,Reduced Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",14,Automobiles (Service),0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,,
"Government of Guam-Guam Regional Transit Authority, dba: Guam Public Transit System",Upper Tumon,GU,90999,Government Unit or Department of Transportation,Rural Reporter,66,Guam Non-UZA,"25,672",14,Van,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.00,0
"Government of Guam-Guam Regional Transit Authority, dba: Guam Public Transit System",Upper Tumon,GU,90999,Government Unit or Department of Transportation,Rural Reporter,66,Guam Non-UZA,"25,672",14,Trucks and other Rubber Tire Vehicles (Service),0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,,
